instance,num_ants,alpha,beta,evaporation_rate,version,cost,duration
200_10_50_9.def,1,5.0,1.0,0.9,1,254022,509
200_10_50_9.def,1,5.0,1.0,0.9,2,107032,2895
200_10_50_9.def,1,1.0,1.0,0.1,1,254669,539
200_10_50_9.def,1,1.0,1.0,0.1,2,106986,2895
200_10_50_9.def,1,1.0,1.0,0.5,1,252813,522
200_10_50_9.def,1,1.0,1.0,0.5,2,106986,2895
200_10_50_9.def,1,1.0,1.0,0.9,1,256589,492
200_10_50_9.def,1,1.0,1.0,0.9,2,106991,2895
200_10_50_9.def,30,1.0,5.0,0.1,1,254501,492
200_10_50_9.def,30,1.0,5.0,0.1,2,106986,2857
200_10_50_9.def,30,1.0,5.0,0.5,1,253748,480
200_10_50_9.def,30,1.0,5.0,0.5,2,106986,2881
200_10_50_9.def,30,1.0,5.0,0.9,1,252190,486
200_10_50_9.def,30,1.0,5.0,0.9,2,107010,2881
200_10_50_9.def,30,5.0,1.0,0.1,1,255106,479
200_10_50_9.def,30,5.0,1.0,0.1,2,107140,2844
200_10_50_9.def,30,5.0,1.0,0.5,1,256469,485
200_10_50_9.def,30,5.0,1.0,0.5,2,107152,2849
200_10_50_9.def,30,5.0,1.0,0.9,1,256080,473
200_10_50_9.def,30,5.0,1.0,0.9,2,108830,3048
200_10_50_9.def,30,1.0,1.0,0.1,1,254175,476
200_10_50_9.def,30,1.0,1.0,0.1,2,107019,2881
200_10_50_9.def,30,1.0,1.0,0.5,1,257131,491
200_10_50_9.def,30,1.0,1.0,0.5,2,107040,2919
200_10_50_9.def,30,1.0,1.0,0.9,1,256843,477
200_10_50_9.def,30,1.0,1.0,0.9,2,107173,2865
100_20_47_9.def,1,1.0,5.0,0.1,1,130501,186
100_20_47_9.def,1,1.0,5.0,0.1,2,56190,1190
100_20_47_9.def,1,1.0,5.0,0.5,1,130795,162
100_20_47_9.def,1,1.0,5.0,0.5,2,56190,1150
100_20_47_9.def,1,1.0,5.0,0.9,1,134135,195
100_20_47_9.def,1,1.0,5.0,0.9,2,56190,1150
100_20_47_9.def,1,5.0,1.0,0.1,1,132300,171
100_20_47_9.def,1,5.0,1.0,0.1,2,56190,1117
100_20_47_9.def,1,5.0,1.0,0.5,1,130459,167
100_20_47_9.def,1,5.0,1.0,0.5,2,56290,1117
100_20_47_9.def,1,5.0,1.0,0.9,1,130217,176
100_20_47_9.def,1,5.0,1.0,0.9,2,56648,1132
100_20_47_9.def,1,1.0,1.0,0.1,1,130993,158
100_20_47_9.def,1,1.0,1.0,0.1,2,56190,1150
100_20_47_9.def,1,1.0,1.0,0.5,1,138472,152
100_20_47_9.def,1,1.0,1.0,0.5,2,56190,1150
100_20_47_9.def,1,1.0,1.0,0.9,1,131786,158
100_20_47_9.def,1,1.0,1.0,0.9,2,56356,1112
